Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Burger Island,Game: Burger Island, Platform: Wii,0,0,0.14,0.01,0.15
The Munchables,Game: The Munchables, Platform: Wii,0,0,0.17,0.01,0.19
Ringling Bros. and Barnum & Bailey Circus,Game: Ringling Bros. and Barnum & Bailey Circus, Platform: Wii,0,0,0.17,0.01,0.18
Chaotic: Shadow Warriors,Game: Chaotic: Shadow Warriors, Platform: Wii,0,0,0.18,0.01,0.19
Spyborgs,Game: Spyborgs, Platform: Wii,0.01,0,0.1,0.01,0.11
Medieval Games,Game: Medieval Games, Platform: Wii,0.01,0,0.14,0.01,0.16
Playmobil Circus,Game: Playmobil Circus, Platform: Wii,0.02,0,0.06,0.01,0.09
Water Sports,Game: Water Sports, Platform: Wii,0.04,0,0.05,0.01,0.1
JU-ON: The Grudge,Game: JU-ON: The Grudge, Platform: Wii,0.01,0.01,0.08,0.01,0.11
Beyblade: Metal Fusion - Battle Fortress,Game: Beyblade: Metal Fusion - Battle Fortress, Platform: Wii,0,0.03,0.15,0.01,0.2
Naruto Shippuden: Dragon Blade Chronicles,Game: Naruto Shippuden: Dragon Blade Chronicles, Platform: Wii,0.02,0.05,0.11,0.01,0.18
Samurai Warriors 3,Game: Samurai Warriors 3, Platform: Wii,0.02,0.32,0.1,0.01,0.45
Planet 51,Game: Planet 51, Platform: Wii,0.02,0,0.17,0.02,0.2
G.I. Joe: The Rise of Cobra,Game: G.I. Joe: The Rise of Cobra, Platform: Wii,0.03,0,0.17,0.02,0.22
We Wish You A Merry Christmas,Game: We Wish You A Merry Christmas, Platform: Wii,0.04,0,0.14,0.02,0.2
X-Men Origins: Wolverine,Game: X-Men Origins: Wolverine, Platform: Wii,0.04,0,0.19,0.02,0.25
Dragon Ball: Revenge of King Piccolo,Game: Dragon Ball: Revenge of King Piccolo, Platform: Wii,0.03,0.03,0.13,0.02,0.2
Dead Rising: Chop Till You Drop,Game: Dead Rising: Chop Till You Drop, Platform: Wii,0.07,0.05,0.15,0.02,0.29
One Piece Unlimited Cruise 2: Awakening of a Hero,Game: One Piece Unlimited Cruise 2: Awakening of a Hero, Platform: Wii,0.1,0.17,0,0.02,0.29
Monsters vs. Aliens,Game: Monsters vs. Aliens, Platform: Wii,0.09,0,0.14,0.03,0.26
Deadly Creatures,Game: Deadly Creatures, Platform: Wii,0.12,0,0.08,0.03,0.23
Night at the Museum: Battle of the Smithsonian,Game: Night at the Museum: Battle of the Smithsonian, Platform: Wii,0.13,0,0.17,0.03,0.33
Ice Age: Dawn of the Dinosaurs,Game: Ice Age: Dawn of the Dinosaurs, Platform: Wii,0.14,0,0.11,0.03,0.28
Final Fantasy Crystal Chronicles: The Crystal Bearers,Game: Final Fantasy Crystal Chronicles: The Crystal Bearers, Platform: Wii,0.08,0.08,0.22,0.03,0.4
Ben 10 Alien Force: Vilgax Attacks,Game: Ben 10 Alien Force: Vilgax Attacks, Platform: Wii,0.15,0,0.25,0.04,0.44
Mini Ninjas,Game: Mini Ninjas, Platform: Wii,0.17,0,0.17,0.04,0.37
Overlord: Dark Legend,Game: Overlord: Dark Legend, Platform: Wii,0.22,0,0.12,0.04,0.38
Bakugan: Battle Brawlers,Game: Bakugan: Battle Brawlers, Platform: Wii,0.03,0,0.6,0.05,0.68
Real Heroes: Firefighter,Game: Real Heroes: Firefighter, Platform: Wii,0.04,0,0.56,0.05,0.65
G-Force,Game: G-Force, Platform: Wii,0.2,0,0.19,0.05,0.44
Silent Hill: Shattered Memories,Game: Silent Hill: Shattered Memories, Platform: Wii,0.19,0.01,0.23,0.05,0.48
Up,Game: Up, Platform: Wii,0.28,0,0.23,0.06,0.57
Scooby-Doo! First Frights,Game: Scooby-Doo! First Frights, Platform: Wii,0.05,0,0.88,0.07,0.99
MadWorld,Game: MadWorld, Platform: Wii,0.25,0.02,0.46,0.07,0.8
Ghostbusters: The Video Game,Game: Ghostbusters: The Video Game, Platform: Wii,0.21,0,0.6,0.08,0.88
Indiana Jones and the Staff of Kings,Game: Indiana Jones and the Staff of Kings, Platform: Wii,0.3,0,0.36,0.08,0.74
Star Wars The Clone Wars: Republic Heroes,Game: Star Wars The Clone Wars: Republic Heroes, Platform: Wii,0.3,0,0.44,0.08,0.82
Avatar: The Game,Game: Avatar: The Game, Platform: Wii,0.32,0,0.33,0.08,0.73
Harry Potter and the Half-Blood Prince,Game: Harry Potter and the Half-Blood Prince, Platform: Wii,0.4,0,0.28,0.09,0.77
Resident Evil: The Darkside Chronicles,Game: Resident Evil: The Darkside Chronicles, Platform: Wii,0.32,0.2,0.48,0.09,1.08
LEGO Indiana Jones 2: The Adventure Continues,Game: LEGO Indiana Jones 2: The Adventure Continues, Platform: Wii,0.39,0,0.91,0.13,1.43
Pirates PlundArrr,Game: Pirates PlundArrr, Platform: Wii,0,0,0.02,0,0.02
Boot Camp Academy,Game: Boot Camp Academy, Platform: Wii,0,0,0.03,0,0.03
Marvel Superheroes 3D: Grandmaster's Challenge,Game: Marvel Superheroes 3D: Grandmaster's Challenge, Platform: Wii,0.01,0,0,0,0.02
Zangeki no Reginleiv,Game: Zangeki no Reginleiv, Platform: Wii,0,0.11,0,0,0.11
America's Next Top Model,Game: America's Next Top Model, Platform: Wii,0,0,0.08,0.01,0.08
Haunted House,Game: Haunted House, Platform: Wii,0,0,0.13,0.01,0.14
Rudolph the Red-Nosed Reindeer,Game: Rudolph the Red-Nosed Reindeer, Platform: Wii,0,0,0.15,0.01,0.16
Legend of the Guardians: The Owls of Ga'Hoole,Game: Legend of the Guardians: The Owls of Ga'Hoole, Platform: Wii,0.01,0,0.11,0.01,0.13
Bakugan Battle Brawlers: Defenders of the Core,Game: Bakugan Battle Brawlers: Defenders of the Core, Platform: Wii,0.01,0,0.15,0.01,0.17
Barbie: Groom and Glam Pups,Game: Barbie: Groom and Glam Pups, Platform: Wii,0.02,0,0.19,0.01,0.22
Tom Clancy's HAWX 2,Game: Tom Clancy's HAWX 2, Platform: Wii,0.03,0,0.07,0.01,0.11
Kid Adventures: Sky Captain,Game: Kid Adventures: Sky Captain, Platform: Wii,0.04,0,0.11,0.01,0.16
Yogi Bear: The Video Game,Game: Yogi Bear: The Video Game, Platform: Wii,0.05,0,0.06,0.01,0.12
Sengoku Basara: Samurai Heroes,Game: Sengoku Basara: Samurai Heroes, Platform: Wii,0.02,0.2,0.08,0.01,0.3
Create,Game: Create, Platform: Wii,0.03,0,0.22,0.02,0.26
Marvel Super Hero Squad: The Infinity Gauntlet,Game: Marvel Super Hero Squad: The Infinity Gauntlet, Platform: Wii,0.04,0,0.22,0.02,0.28
The Lord of the Rings: Aragorn's Quest,Game: The Lord of the Rings: Aragorn's Quest, Platform: Wii,0.05,0,0.17,0.02,0.24
Batman: The Brave and the Bold the Videogame,Game: Batman: The Brave and the Bold the Videogame, Platform: Wii,0.06,0,0.22,0.02,0.3
The Last Airbender,Game: The Last Airbender, Platform: Wii,0.07,0,0.12,0.02,0.21
All Star Karate,Game: All Star Karate, Platform: Wii,0.07,0,0.14,0.02,0.23
Spider-Man: Shattered Dimensions,Game: Spider-Man: Shattered Dimensions, Platform: Wii,0.09,0,0.13,0.02,0.24
Prince of Persia: The Forgotten Sands,Game: Prince of Persia: The Forgotten Sands, Platform: Wii,0.11,0,0.11,0.02,0.25
FlingSmash,Game: FlingSmash, Platform: Wii,0.01,0.07,0.38,0.02,0.48
NBA 2K11,Game: NBA 2K11, Platform: Wii,0.01,0,0.47,0.03,0.51
Transformers: Cybertron Adventures,Game: Transformers: Cybertron Adventures, Platform: Wii,0.1,0,0.15,0.03,0.28
MySims SkyHeroes,Game: MySims SkyHeroes, Platform: Wii,0.1,0,0.18,0.03,0.31
Iron Man 2,Game: Iron Man 2, Platform: Wii,0.15,0,0.15,0.03,0.33
Chicken Riot,Game: Chicken Riot, Platform: Wii,0.16,0,0.15,0.03,0.34
No More Heroes 2: Desperate Struggle,Game: No More Heroes 2: Desperate Struggle, Platform: Wii,0.12,0.04,0.21,0.03,0.41
Scooby-Doo! and the Spooky Swamp,Game: Scooby-Doo! and the Spooky Swamp, Platform: Wii,0.13,0,0.29,0.04,0.46
How to Train Your Dragon,Game: How to Train Your Dragon, Platform: Wii,0.15,0,0.24,0.04,0.43
Super Monkey Ball: Step & Roll,Game: Super Monkey Ball: Step & Roll, Platform: Wii,0.2,0,0.17,0.04,0.4
Disney Tangled,Game: Disney Tangled, Platform: Wii,0.17,0,0.47,0.05,0.69
Harry Potter and the Deathly Hallows - Part 1,Game: Harry Potter and the Deathly Hallows - Part 1, Platform: Wii,0.28,0,0.22,0.05,0.55
Star Wars: The Force Unleashed II,Game: Star Wars: The Force Unleashed II, Platform: Wii,0.19,0,0.54,0.06,0.8
Metroid: Other M,Game: Metroid: Other M, Platform: Wii,0.31,0.13,0.87,0.1,1.41
Toy Story 3: The Video Game,Game: Toy Story 3: The Video Game, Platform: Wii,0.63,0,0.64,0.14,1.41
Chuck E. Cheese's Super Collection,Game: Chuck E. Cheese's Super Collection, Platform: Wii,0,0,0.02,0,0.02
Man vs. Wild,Game: Man vs. Wild, Platform: Wii,0,0,0.07,0,0.08
Sengoku Musou 3: Moushouden,Game: Sengoku Musou 3: Moushouden, Platform: Wii,0,0.08,0,0,0.08
Super Sentai Battle: Ranger Cross,Game: Super Sentai Battle: Ranger Cross, Platform: Wii,0,0.08,0,0,0.08
Sengoku Basara 3 Utage,Game: Sengoku Basara 3 Utage, Platform: Wii,0,0.13,0,0,0.13
Jaws: Ultimate Predator,Game: Jaws: Ultimate Predator, Platform: Wii,0,0,0.09,0.01,0.09
Generator Rex: Agent of Providence,Game: Generator Rex: Agent of Providence, Platform: Wii,0.01,0,0.07,0.01,0.09
Puss in Boots,Game: Puss in Boots, Platform: Wii,0.01,0,0.19,0.01,0.22
Spider-Man: Edge of Time,Game: Spider-Man: Edge of Time, Platform: Wii,0.02,0,0.06,0.01,0.09
X-Men: Destiny,Game: X-Men: Destiny, Platform: Wii,0.02,0,0.08,0.01,0.11
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Game: The Penguins of Madagascar: Dr. Blowhole Returns - Again!, Platform: Wii,0.03,0,0.05,0.01,0.09
Marvel Super Hero Squad: Comic Combat,Game: Marvel Super Hero Squad: Comic Combat, Platform: Wii,0.03,0,0.15,0.01,0.2
Green Lantern: Rise of the Manhunters,Game: Green Lantern: Rise of the Manhunters, Platform: Wii,0.04,0,0.06,0.01,0.1
Rango: The Video Game,Game: Rango: The Video Game, Platform: Wii,0.04,0,0.08,0.01,0.14
Thor: God of Thunder,Game: Thor: God of Thunder, Platform: Wii,0.04,0,0.11,0.01,0.16
Kung Fu Panda 2,Game: Kung Fu Panda 2, Platform: Wii,0.05,0,0.08,0.01,0.14
Power Rangers Samurai,Game: Power Rangers Samurai, Platform: Wii,0.03,0,0.29,0.02,0.34
Transformers: Dark of the Moon,Game: Transformers: Dark of the Moon, Platform: Wii,0.07,0,0.1,0.02,0.18
Pro Evolution Soccer 2012,Game: Pro Evolution Soccer 2012, Platform: Wii,0.08,0.03,0.08,0.02,0.21
Harry Potter and the Deathly Hallows - Part 2,Game: Harry Potter and the Deathly Hallows - Part 2, Platform: Wii,0.14,0,0.18,0.03,0.35
Need for Speed: The Run,Game: Need for Speed: The Run, Platform: Wii,0.13,0.01,0.13,0.03,0.29
The Adventures of Tintin: The Game,Game: The Adventures of Tintin: The Game, Platform: Wii,0.17,0,0.13,0.04,0.34
Phineas and Ferb: Across the 2nd Dimension,Game: Phineas and Ferb: Across the 2nd Dimension, Platform: Wii,0.19,0,0.36,0.05,0.6
PokePark 2: Wonders Beyond,Game: PokePark 2: Wonders Beyond, Platform: Wii,0.2,0.27,0.27,0.05,0.79
Disney Universe,Game: Disney Universe, Platform: Wii,0.3,0,0.67,0.1,1.07
LEGO Pirates of the Caribbean: The Video Game,Game: LEGO Pirates of the Caribbean: The Video Game, Platform: Wii,0.72,0,0.76,0.16,1.64
Transformers: Prime,Game: Transformers: Prime, Platform: Wii,0.01,0,0,0,0.02
Brave: The Video Game,Game: Brave: The Video Game, Platform: Wii,0.02,0,0,0,0.02
The Cube,Game: The Cube, Platform: Wii,0.04,0,0,0,0.04
Fatal Frame 2: Wii Edition,Game: Fatal Frame 2: Wii Edition, Platform: Wii,0,0.1,0,0,0.1
WWE '13,Game: WWE '13, Platform: Wii,0.02,0,0.12,0.01,0.16
The Amazing Spider-Man (Console Version),Game: The Amazing Spider-Man (Console Version), Platform: Wii,0.04,0,0.11,0.01,0.16
Kirby's Dream Collection: Special Edition,Game: Kirby's Dream Collection: Special Edition, Platform: Wii,0,0.33,0.34,0.02,0.68
WipeOut 3 The Game,Game: WipeOut 3 The Game, Platform: Wii,0,0,0.38,0.03,0.4
Epic Mickey 2: The Power of Two,Game: Epic Mickey 2: The Power of Two, Platform: Wii,0.23,0,0.72,0.08,1.03
LEGO The Lord of the Rings,Game: LEGO The Lord of the Rings, Platform: Wii,0.37,0,0.52,0.08,0.97
FIFA Soccer 13,Game: FIFA Soccer 13, Platform: Wii,0.46,0,0.19,0.08,0.72
LEGO Batman 2: DC Super Heroes,Game: LEGO Batman 2: DC Super Heroes, Platform: Wii,0.4,0,0.94,0.11,1.46
Young Justice: Legacy,Game: Young Justice: Legacy, Platform: Wii,0.03,0,0,0,0.03
Disney Infinity,Game: Disney Infinity, Platform: Wii,0.44,0,1.15,0.14,1.73
Penguins of Madagascar,Game: Penguins of Madagascar, Platform: Wii,0.02,0,0,0,0.02
Disney Planes Fire & Rescue,Game: Disney Planes Fire & Rescue, Platform: Wii,0.05,0,0,0,0.06
Skylanders: Trap Team,Game: Skylanders: Trap Team, Platform: Wii,0.54,0,0.42,0.08,1.05
Monster High: New Ghoul in School,Game: Monster High: New Ghoul in School, Platform: Wii,0.03,0,0,0,0.03
Barbie and Her Sisters Puppy Rescue,Game: Barbie and Her Sisters Puppy Rescue, Platform: Wii,0.06,0,0,0,0.06
Skylanders: SuperChargers,Game: Skylanders: SuperChargers, Platform: Wii,0.19,0,0.05,0.02,0.26
Tank! Tank! Tank!,Game: Tank! Tank! Tank!, Platform: WiiU,0.01,0.05,0.02,0,0.07
WipeOut 3 The Game,Game: WipeOut 3 The Game, Platform: WiiU,0,0,0.12,0.01,0.13
Transformers: Prime,Game: Transformers: Prime, Platform: WiiU,0.03,0,0.09,0.01,0.14
Game Party: Champions,Game: Game Party: Champions, Platform: WiiU,0.03,0,0.09,0.01,0.14
Marvel Avengers: Battle for Earth,Game: Marvel Avengers: Battle for Earth, Platform: WiiU,0.04,0,0.07,0.01,0.12
Your Shape: Fitness Evolved 2013,Game: Your Shape: Fitness Evolved 2013, Platform: WiiU,0.07,0,0.06,0.01,0.14
Darksiders II,Game: Darksiders II, Platform: WiiU,0.07,0,0.07,0.01,0.16
Warriors Orochi 3 Hyper,Game: Warriors Orochi 3 Hyper, Platform: WiiU,0.02,0.02,0.04,0.01,0.08
Ninja Gaiden 3,Game: Ninja Gaiden 3, Platform: WiiU,0.03,0,0.15,0.02,0.19
Epic Mickey 2: The Power of Two,Game: Epic Mickey 2: The Power of Two, Platform: WiiU,0.07,0.01,0.14,0.02,0.24
Scribblenauts: Unlimited,Game: Scribblenauts: Unlimited, Platform: WiiU,0.09,0,0.26,0.03,0.38
Assassin's Creed III,Game: Assassin's Creed III, Platform: WiiU,0.13,0,0.19,0.03,0.36
Batman: Arkham City,Game: Batman: Arkham City, Platform: WiiU,0.18,0,0.17,0.03,0.38
Skylanders Giants,Game: Skylanders Giants, Platform: WiiU,0.12,0,0.23,0.04,0.39
FIFA Soccer 13,Game: FIFA Soccer 13, Platform: WiiU,0.26,0,0.18,0.04,0.48
ZombiU,Game: ZombiU, Platform: WiiU,0.36,0.05,0.53,0.08,1.02
Monster High 13 Wishes,Game: Monster High 13 Wishes, Platform: WiiU,0,0,0.02,0,0.03
DuckTales: Remastered,Game: DuckTales: Remastered, Platform: WiiU,0,0,0.05,0,0.06
Adventure Time: Explore the Dungeon Because I Don't Know!,Game: Adventure Time: Explore the Dungeon Because I Don't Know!, Platform: WiiU,0.01,0,0.02,0,0.03
The Amazing Spider-Man (Console Version),Game: The Amazing Spider-Man (Console Version), Platform: WiiU,0.03,0,0.05,0.01,0.09
Tom Clancy's Splinter Cell: Blacklist,Game: Tom Clancy's Splinter Cell: Blacklist, Platform: WiiU,0.07,0,0.05,0.01,0.12
LEGO Batman 2: DC Super Heroes,Game: LEGO Batman 2: DC Super Heroes, Platform: WiiU,0.07,0,0.05,0.01,0.13
Resident Evil: Revelations,Game: Resident Evil: Revelations, Platform: WiiU,0.08,0.03,0.07,0.01,0.2
Assassin's Creed IV: Black Flag,Game: Assassin's Creed IV: Black Flag, Platform: WiiU,0.09,0,0.18,0.03,0.29
Batman: Arkham Origins,Game: Batman: Arkham Origins, Platform: WiiU,0.09,0,0.2,0.03,0.33
The Wonderful 101,Game: The Wonderful 101, Platform: WiiU,0.1,0.08,0.2,0.03,0.41
Disney Infinity,Game: Disney Infinity, Platform: WiiU,0.22,0,0.33,0.05,0.6
LEGO Marvel Super Heroes,Game: LEGO Marvel Super Heroes, Platform: WiiU,0.35,0.02,0.31,0.06,0.74
Disney Planes Fire & Rescue,Game: Disney Planes Fire & Rescue, Platform: WiiU,0.01,0,0.01,0,0.03
Penguins of Madagascar,Game: Penguins of Madagascar, Platform: WiiU,0.02,0,0.01,0,0.04
The Amazing Spider-Man 2 (2014),Game: The Amazing Spider-Man 2 (2014), Platform: WiiU,0.02,0,0.03,0,0.06
Kamen Rider: Battride War II,Game: Kamen Rider: Battride War II, Platform: WiiU,0,0.02,0,0,0.02
One Piece: Unlimited World Red,Game: One Piece: Unlimited World Red, Platform: WiiU,0.04,0.02,0,0,0.07
Fatal Frame: Maiden of Black Water,Game: Fatal Frame: Maiden of Black Water, Platform: WiiU,0.03,0.08,0,0,0.11
The Voice,Game: The Voice, Platform: WiiU,0,0,0.08,0.01,0.09
Transformer: Rise of the Dark Spark,Game: Transformer: Rise of the Dark Spark, Platform: WiiU,0.01,0,0.05,0.01,0.07
Watch Dogs,Game: Watch Dogs, Platform: WiiU,0.05,0,0.08,0.01,0.14
LEGO The Hobbit,Game: LEGO The Hobbit, Platform: WiiU,0.11,0,0.1,0.02,0.23
NES Remix,Game: NES Remix, Platform: WiiU,0,0.08,0.2,0.02,0.3
Sonic Boom: Rise of Lyric,Game: Sonic Boom: Rise of Lyric, Platform: WiiU,0.09,0,0.21,0.03,0.33
Lego Batman 3: Beyond Gotham,Game: Lego Batman 3: Beyond Gotham, Platform: WiiU,0.21,0,0.23,0.04,0.47
Disney Infinity 2.0: Marvel Super Heroes,Game: Disney Infinity 2.0: Marvel Super Heroes, Platform: WiiU,0.22,0,0.38,0.06,0.65
Skylanders: Trap Team,Game: Skylanders: Trap Team, Platform: WiiU,0.25,0,0.39,0.06,0.7
The LEGO Movie Videogame,Game: The LEGO Movie Videogame, Platform: WiiU,0.23,0.03,0.35,0.06,0.66
Hyrule Warriors,Game: Hyrule Warriors, Platform: WiiU,0.42,0.13,0.61,0.1,1.26
Bayonetta 2,Game: Bayonetta 2, Platform: WiiU,0.28,0.1,0.34,0.3,1.01
Barbie and Her Sisters Puppy Rescue,Game: Barbie and Her Sisters Puppy Rescue, Platform: WiiU,0.01,0,0,0,0.01
Legend of Kay Anniversary,Game: Legend of Kay Anniversary, Platform: WiiU,0.01,0,0,0,0.01
Adventure Time: Finn & Jake Investigations,Game: Adventure Time: Finn & Jake Investigations, Platform: WiiU,0.02,0,0.03,0,0.05
Legend of Kay,Game: Legend of Kay, Platform: WiiU,0.02,0,0.03,0,0.05
Just Dance: Disney Party 2,Game: Just Dance: Disney Party 2, Platform: WiiU,0.01,0,0.06,0.01,0.08
Devil's Third,Game: Devil's Third, Platform: WiiU,0.02,0,0.04,0.01,0.06
Rodea the Sky Soldier,Game: Rodea the Sky Soldier, Platform: WiiU,0.02,0.01,0.08,0.01,0.12
Skylanders: SuperChargers,Game: Skylanders: SuperChargers, Platform: WiiU,0.18,0,0.25,0.04,0.48
Disney Infinity 3.0,Game: Disney Infinity 3.0, Platform: WiiU,0.21,0,0.2,0.04,0.44
LEGO Jurassic World,Game: LEGO Jurassic World, Platform: WiiU,0.19,0.02,0.28,0.04,0.53
LEGO Dimensions,Game: LEGO Dimensions, Platform: WiiU,0.16,0,0.3,0.05,0.51
Terraria,Game: Terraria, Platform: WiiU,0.02,0,0,0,0.03
Lego Star Wars: The Force Awakens,Game: Lego Star Wars: The Force Awakens, Platform: WiiU,0.04,0,0.04,0.01,0.09
Mario & Sonic at the Rio 2016 Olympic Games,Game: Mario & Sonic at the Rio 2016 Olympic Games, Platform: WiiU,0.11,0.1,0.03,0.01,0.26
LEGO Marvel's Avengers,Game: LEGO Marvel's Avengers, Platform: WiiU,0.09,0,0.12,0.02,0.23
The Legend of Zelda: Twilight Princess HD,Game: The Legend of Zelda: Twilight Princess HD, Platform: WiiU,0.3,0.08,0.48,0.08,0.94
Jurassic Park: The Game,Game: Jurassic Park: The Game, Platform: X360,0,0,0.15,0.01,0.16
Happy Feet Two,Game: Happy Feet Two, Platform: X360,0.01,0,0.08,0.01,0.1
Robert Ludlum's The Bourne Conspiracy,Game: Robert Ludlum's The Bourne Conspiracy, Platform: X360,0.14,0,0.26,0.04,0.44
Silent Hill: Homecoming,Game: Silent Hill: Homecoming, Platform: X360,0.16,0,0.25,0.04,0.45
The Lord of the Rings: War in the North,Game: The Lord of the Rings: War in the North, Platform: X360,0.26,0,0.52,0.08,0.86
LEGO Harry Potter: Years 5-7,Game: LEGO Harry Potter: Years 5-7, Platform: X360,0.39,0,0.51,0.09,0.99
Shin Sangoku Musou 4 Special,Game: Shin Sangoku Musou 4 Special, Platform: X360,0,0.01,0,0,0.01
NBA 2K6,Game: NBA 2K6, Platform: X360,0.01,0,0.21,0.02,0.23
Peter Jackson's King Kong: The Official Game of the Movie,Game: Peter Jackson's King Kong: The Official Game of the Movie, Platform: X360,0.03,0,0.2,0.02,0.26
Kameo: Elements of Power,Game: Kameo: Elements of Power, Platform: X360,0.03,0,0.28,0.03,0.34
Condemned: Criminal Origins,Game: Condemned: Criminal Origins, Platform: X360,0.03,0,0.36,0.03,0.42
The Godfather (JP sales),Game: The Godfather (JP sales), Platform: X360,0,0.01,0,0,0.01
Earth Defense Force 2017,Game: Earth Defense Force 2017, Platform: X360,0.01,0.03,0.04,0,0.08
Samurai Warriors 2,Game: Samurai Warriors 2, Platform: X360,0.01,0,0.07,0.01,0.08
Onechanbara: Bikini Samurai Squad,Game: Onechanbara: Bikini Samurai Squad, Platform: X360,0.01,0,0.11,0.01,0.13
Dynasty Warriors 5 Empires,Game: Dynasty Warriors 5 Empires, Platform: X360,0.01,0,0.11,0.01,0.13
Eragon,Game: Eragon, Platform: X360,0.01,0,0.12,0.01,0.14
X-Men: The Official Game,Game: X-Men: The Official Game, Platform: X360,0.01,0,0.16,0.01,0.17
Just Cause,Game: Just Cause, Platform: X360,0.03,0.01,0.1,0.01,0.14
The Godfather (US & Others sales),Game: The Godfather (US & Others sales), Platform: X360,0.02,0,0.2,0.02,0.24
The Outfit,Game: The Outfit, Platform: X360,0.02,0,0.21,0.02,0.25
Superman Returns,Game: Superman Returns, Platform: X360,0.02,0,0.23,0.02,0.27
N3: Ninety-Nine Nights,Game: N3: Ninety-Nine Nights, Platform: X360,0.03,0.05,0.2,0.02,0.3
Hitman: Blood Money,Game: Hitman: Blood Money, Platform: X360,0.06,0.01,0.29,0.03,0.4
Tomb Raider: Legend,Game: Tomb Raider: Legend, Platform: X360,0.08,0.01,0.27,0.03,0.39
Tenchu Z,Game: Tenchu Z, Platform: X360,0.02,0.02,0.27,0.03,0.34
LEGO Star Wars II: The Original Trilogy,Game: LEGO Star Wars II: The Original Trilogy, Platform: X360,0.04,0,0.55,0.05,0.64
Tom Clancy's Splinter Cell: Double Agent,Game: Tom Clancy's Splinter Cell: Double Agent, Platform: X360,0.05,0.01,0.67,0.06,0.78
Samurai Warriors 2: Empires,Game: Samurai Warriors 2: Empires, Platform: X360,0,0.01,0.03,0,0.04
Disney's Meet the Robinsons,Game: Disney's Meet the Robinsons, Platform: X360,0,0,0.07,0.01,0.08
Bee Movie Game,Game: Bee Movie Game, Platform: X360,0,0,0.16,0.01,0.17
Looney Tunes: Acme Arsenal,Game: Looney Tunes: Acme Arsenal, Platform: X360,0.01,0,0.06,0.01,0.08
Bladestorm: The Hundred Years' War,Game: Bladestorm: The Hundred Years' War, Platform: X360,0.01,0,0.08,0.01,0.1
Fantastic Four: Rise of the Silver Surfer,Game: Fantastic Four: Rise of the Silver Surfer, Platform: X360,0.01,0,0.1,0.01,0.12
Avatar: The Last Airbender - The Burning Earth,Game: Avatar: The Last Airbender - The Burning Earth, Platform: X360,0.01,0,0.11,0.01,0.14
Vampire Rain,Game: Vampire Rain, Platform: X360,0,0.01,0.18,0.01,0.21
Dynasty Warriors Gundam,Game: Dynasty Warriors Gundam, Platform: X360,0.01,0.02,0.15,0.01,0.19
Warriors Orochi,Game: Warriors Orochi, Platform: X360,0.01,0,0.17,0.02,0.2
NHL 08,Game: NHL 08, Platform: X360,0.01,0,0.22,0.02,0.25
Conan,Game: Conan, Platform: X360,0.02,0,0.16,0.02,0.2
Ratatouille,Game: Ratatouille, Platform: X360,0.02,0,0.23,0.02,0.27
Spider-Man: Friend or Foe,Game: Spider-Man: Friend or Foe, Platform: X360,0.02,0,0.26,0.02,0.3
Harry Potter and the Order of the Phoenix,Game: Harry Potter and the Order of the Phoenix, Platform: X360,0.04,0,0.24,0.02,0.3
Dynasty Warriors 6,Game: Dynasty Warriors 6, Platform: X360,0.06,0.06,0.15,0.02,0.3
Def Jam Icon,Game: Def Jam Icon, Platform: X360,0.01,0,0.3,0.03,0.35
Beowulf: The Game,Game: Beowulf: The Game, Platform: X360,0.01,0,0.36,0.03,0.4
Crash of the Titans,Game: Crash of the Titans, Platform: X360,0.02,0,0.27,0.03,0.32
Pirates of the Caribbean: At World's End,Game: Pirates of the Caribbean: At World's End, Platform: X360,0.02,0,0.29,0.03,0.34
Naruto: Rise of a Ninja,Game: Naruto: Rise of a Ninja, Platform: X360,0.02,0,0.29,0.03,0.33
TMNT,Game: TMNT, Platform: X360,0.04,0,0.47,0.04,0.55
The Golden Compass,Game: The Golden Compass, Platform: X360,0.12,0,0.3,0.04,0.46
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Game: Transformers: The Game (XBox 360, PS2,0.05,0,0.51,0.05,0.61
Tomb Raider: Anniversary,Game: Tomb Raider: Anniversary, Platform: X360,0.23,0,0.12,0.05,0.4
Shrek the Third,Game: Shrek the Third, Platform: X360,0.1,0,0.54,0.06,0.69
The Simpsons Game,Game: The Simpsons Game, Platform: X360,0.4,0,0.54,0.11,1.05
Secret Service,Game: Secret Service, Platform: X360,0,0,0.04,0,0.05
Jumper: Griffin's Story,Game: Jumper: Griffin's Story, Platform: X360,0,0,0.05,0,0.06
Warriors Orochi 2,Game: Warriors Orochi 2, Platform: X360,0,0.01,0.04,0,0.06
Hellboy: The Science of Evil,Game: Hellboy: The Science of Evil, Platform: X360,0,0,0.1,0.01,0.11
Universe at War: Earth Assault,Game: Universe at War: Earth Assault, Platform: X360,0.01,0,0.09,0.01,0.1
The Spiderwick Chronicles,Game: The Spiderwick Chronicles, Platform: X360,0.01,0,0.09,0.01,0.11
The Chronicles of Narnia: Prince Caspian,Game: The Chronicles of Narnia: Prince Caspian, Platform: X360,0.01,0,0.16,0.01,0.18
Grand Theft Auto: San Andreas,Game: Grand Theft Auto: San Andreas, Platform: X360,0.03,0,0.08,0.01,0.12
