Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Mario Party DS,Game: Mario Party DS, Platform: DS,1.88,1.98,4.46,0.7,9.02
The Elder Scrolls V: Skyrim,Game: The Elder Scrolls V: Skyrim, Platform: X360,2.86,0.1,5.03,0.85,8.84
Super Mario Kart,Game: Super Mario Kart, Platform: SNES,1.24,3.81,3.54,0.18,8.76
FIFA 16,Game: FIFA 16, Platform: PS4,6.06,0.06,1.11,1.26,8.49
Wii Party,Game: Wii Party, Platform: Wii,3.53,2.49,1.79,0.68,8.49
Halo 2,Game: Halo 2, Platform: XB,1.53,0.05,6.82,0.08,8.49
Mario Party 8,Game: Mario Party 8, Platform: Wii,2.3,1.58,3.81,0.73,8.42
Pokemon Black 2/Pokemon White 2,Game: Pokemon Black 2/Pokemon White 2, Platform: DS,1.86,3.14,2.91,0.43,8.33
FIFA Soccer 13,Game: FIFA Soccer 13, Platform: PS3,5.05,0.13,1.06,2.01,8.24
The Sims 3,Game: The Sims 3, Platform: PC,6.42,0,0.98,0.71,8.11
GoldenEye 007,Game: GoldenEye 007, Platform: N64,2.01,0.13,5.8,0.15,8.09
Mario & Sonic at the Olympic Games,Game: Mario & Sonic at the Olympic Games, Platform: Wii,3.9,0.66,2.58,0.91,8.06
Final Fantasy X,Game: Final Fantasy X, Platform: PS2,2.07,2.73,2.91,0.33,8.05
Final Fantasy VIII,Game: Final Fantasy VIII, Platform: PS,1.72,3.63,2.28,0.23,7.86
Pokémon Platinum Version,Game: Pokémon Platinum Version, Platform: DS,1.78,2.69,2.82,0.55,7.84
Pac-Man,Game: Pac-Man, Platform: 2600,0.45,0,7.28,0.08,7.81
Grand Theft Auto: Liberty City Stories,Game: Grand Theft Auto: Liberty City Stories, Platform: PSP,2.83,0.24,2.9,1.75,7.72
Super Mario Galaxy 2,Game: Super Mario Galaxy 2, Platform: Wii,2.42,0.98,3.66,0.64,7.69
Star Wars Battlefront (2015),Game: Star Wars Battlefront (2015), Platform: PS4,3.29,0.22,2.93,1.23,7.67
Call of Duty: Advanced Warfare,Game: Call of Duty: Advanced Warfare, Platform: PS4,3.3,0.14,2.8,1.37,7.6
The Legend of Zelda: Ocarina of Time,Game: The Legend of Zelda: Ocarina of Time, Platform: N64,1.89,1.45,4.1,0.16,7.6
Crash Bandicoot 2: Cortex Strikes Back,Game: Crash Bandicoot 2: Cortex Strikes Back, Platform: PS,2.17,1.31,3.78,0.31,7.58
Super Mario Bros. 2,Game: Super Mario Bros. 2, Platform: NES,1.18,0.7,5.39,0.19,7.46
Super Smash Bros. for Wii U and 3DS,Game: Super Smash Bros. for Wii U and 3DS, Platform: 3DS,1.35,2.42,3.24,0.43,7.45
Call of Duty: World at War,Game: Call of Duty: World at War, Platform: X360,1.9,0,4.79,0.69,7.37
Battlefield 3,Game: Battlefield 3, Platform: X360,2.13,0.06,4.46,0.69,7.34
The Legend of Zelda: Twilight Princess,Game: The Legend of Zelda: Twilight Princess, Platform: Wii,2.19,0.6,3.83,0.7,7.31
Call of Duty: Black Ops 3,Game: Call of Duty: Black Ops 3, Platform: XOne,2.09,0.01,4.52,0.67,7.3
Just Dance,Game: Just Dance, Platform: Wii,3.03,0,3.51,0.73,7.27
Battlefield 3,Game: Battlefield 3, Platform: PS3,2.93,0.35,2.85,1.1,7.23
Need for Speed Underground,Game: Need for Speed Underground, Platform: PS2,2.83,0.08,3.27,1.02,7.2
Tekken 3,Game: Tekken 3, Platform: PS,2.22,1.4,3.27,0.29,7.16
Crash Bandicoot 3: Warped,Game: Crash Bandicoot 3: Warped, Platform: PS,1.75,1.42,3.68,0.28,7.13
Super Smash Bros. Melee,Game: Super Smash Bros. Melee, Platform: GC,1.04,1.39,4.41,0.22,7.07
Mario Kart 8,Game: Mario Kart 8, Platform: WiiU,2.07,1.27,3.13,0.49,6.96
Fallout 4,Game: Fallout 4, Platform: PS4,3.15,0.24,2.47,1.1,6.96
Mario Kart: Double Dash!!,Game: Mario Kart: Double Dash!!, Platform: GC,1.77,0.87,4.12,0.19,6.95
Just Dance 4,Game: Just Dance 4, Platform: Wii,2.21,0,4.14,0.56,6.91
FIFA 14,Game: FIFA 14, Platform: PS3,4.32,0.07,0.78,1.73,6.9
Need for Speed Underground 2,Game: Need for Speed Underground 2, Platform: PS2,3.02,0.08,2.71,1.09,6.9
Medal of Honor: Frontline,Game: Medal of Honor: Frontline, Platform: PS2,2.75,0.17,2.93,0.99,6.83
Uncharted 3: Drake's Deception,Game: Uncharted 3: Drake's Deception, Platform: PS3,2.8,0.19,2.77,1.06,6.83
Crash Bandicoot,Game: Crash Bandicoot, Platform: PS,2.35,0.94,3.23,0.3,6.82
Zumba Fitness,Game: Zumba Fitness, Platform: Wii,2.64,0,3.5,0.67,6.81
Gears of War 2,Game: Gears of War 2, Platform: X360,1.92,0.06,4.15,0.64,6.76
Uncharted 2: Among Thieves,Game: Uncharted 2: Among Thieves, Platform: PS3,2.25,0.21,3.27,1,6.73
Call of Duty 4: Modern Warfare,Game: Call of Duty 4: Modern Warfare, Platform: PS3,2.3,0.28,3.1,1.04,6.72
FIFA 12,Game: FIFA 12, Platform: PS3,4.32,0.11,0.84,1.42,6.69
Big Brain Academy,Game: Big Brain Academy, Platform: DS,2.78,1.6,1.67,0.62,6.67
Red Dead Redemption,Game: Red Dead Redemption, Platform: PS3,2.61,0.17,2.79,1.03,6.6
FIFA 15,Game: FIFA 15, Platform: PS4,4.29,0.05,0.79,1.47,6.59
Donkey Kong Country Returns,Game: Donkey Kong Country Returns, Platform: Wii,1.84,1.03,3.25,0.47,6.59
The Elder Scrolls V: Skyrim,Game: The Elder Scrolls V: Skyrim, Platform: PS3,2.71,0.25,2.55,1.05,6.56
The Legend of Zelda,Game: The Legend of Zelda, Platform: NES,0.93,1.69,3.74,0.14,6.51
Assassin's Creed III,Game: Assassin's Creed III, Platform: PS3,2.56,0.16,2.64,1.14,6.5
Halo: Combat Evolved,Game: Halo: Combat Evolved, Platform: XB,1.3,0.08,4.98,0.07,6.43
